Hadi.	{'6', '2', '1'}
Ned, yapma.	{'4'}
Orada yatan, boğulmuş insanların yüzlerinde değil, ama binlerce ölü insanın yüzünde gördüm!	{'4'}
Ben de savaşçıyım.	{'5'}
Cinayet, her şeyimi alan, nefret dolu bir topluma ait bir şey mi sanıyorsunuz?	{'3'}
Denediler.	{'6'}
Beni hapse tıktılar, ve başarısız olduklarında--	{'4'}
Sevginin anlamını bilir misiniz, Profesör?	{'2'}
Ama anlayamadığınız şey, öfkenin gücü.	{'1'}
Sizin adınıza üzüldüm.	{'6'}
Sizi anlayabiliyorum.	{'6'}
Etrafı toplamaya çalışıyordum.	{'1'}
- Profesör, sizinle konuşmak istiyorum.	{'4', '1'}
Bence işler çığırından çıktı.	{'4'}
Bundan emin misin?	{'7'}
Onu yargılamak size düşmez.	{'1'}
Casusluk yapmanı profesör mü istedi?	{'4'}
Haklıydın.	{'4', '7'}
Nemo onun aklını çeldi.	{'8'}
Bunca zamandır yemek ve hazine aşırdığını biliyorum.	{'6'}
- Sorun ne?	{'3'}
Beklediğim şey işte buydu!	{'5'}
- Kesinlikle!	{'5'}
Çok yakındı dostum.	{'4'}
Kendine harika bir kamara yapmış.	{'8'}
- Ne için?	{'1'}
- Sessiz ol.	{'1'}
Bir öpücük ver.	{'5'}
Kadınlarla daha iyi anlaşırım.	{'6', '5'}
Sana bir puro vereceğim. Tamam.	{'5'}
Ben de seni seviyorum.	{'8'}
İyi bir kız ol.	{'4'}
- Şişedekilerden. Hadi.	{'7'}
İstiridye mevsiminde değiliz.	{'3'}
O olayın 19. yüzyılda gerçekleştiğini unutuyorsun.	{'6'}
Tabii ki dostuz!	{'1'}
Hadi. Iskalayamazsın.	{'8'}
Şimdi de sana planımı söyleyeyim.	{'2'}
İçindekileri çıkartıp, alkölü içebiliriz.	{'5'}
Dümen kilitlendi efendim.	{'7'}
Dümendeki bir hata nedeniyle karaya oturduk. Gelgit sayesinde akşama kurtulmuş oluruz.	{'2'}
Hem de hiç zarar gelmez dostum.	{'5'}
- Dediklerini yapabilir misin?	{'1'}
- Yapabilmek mi?	{'7'}
- Kaçmak için de sabırsızlanıyorsun.	{'8'}
Yerliler, yamyamdır.	{'3'}
Sevgiye aç yerli kız falan göremedim.	{'7'}
- Buraya gel, çabuk.	{'2'}
Yamyamları da unutma.	{'4'}
Bizi korkutmak için uydurmuştur.	{'4'}
Bana baksana. Ben bu ormanı geçemem.	{'4'}
Sonra da donanmadaki tüm gemilerle Nemo'nun peşine düşeceğim.	{'1'}
Beni bekle!	{'5'}
Doğal olarak.	{'5'}
Kapıyı kapatın!	{'1'}
Eğer size de öyle davranılması konusunda ısrar ediyorsanız, bana da başka seçenek bırakmazsınız.	{'5'}
Şansımı yamyamlardan yana kullanmalıydım.	{'4'}
Bir savaş gemisi.	{'4'}
Gemiyi hafifletin ve safraları atın.	{'4'}
Profesör!	{'2'}
Kapıları kapatıyorlar.	{'4'}
- Çıkarın bizi!	{'4'}
1,5 metre ve artıyor efendim.	{'4'}
- Peki efendim!	{'8'}
Biz o sınırı 100 metre kadar aştık.	{'5'}
Tam yol, tüm motorlar!	{'4'}
Geri çekilin!	{'4'}
Ne var? Ne oldu?	{'4'}
Bay Land.	{'1'}
Senin de müzikten hoşlanmana sevindim.	{'5'}
Teşekkürler bebeğim.	{'8'}
Bir içkiye ne dersin?	{'8'}
Esmeralda, sen bu gemideki beni anlayan tek şeysin.	{'8'}
Bir daha yapalım. Bir daha yapalım.	{'1'}
Flabellinas Oculinaları çok seviyor.	{'5'}
Cezanın bitmesine sevindim, Ned.	{'5'}
Onun minnettarlığını falan istemiyoruz!	{'1'}
Bunu ona ikimiz adına iletirsin.	{'1'}
İyi geceler, Esmie.	{'8'}
Ben de onunkini kurtarsam pişman olurdum.	{'1'}
Çok fazla kin tutuyorsunuz.	{'1'}
İnsanlığa güvenmek istemiyorsunuz, çünkü eğer güvenirseniz, nefret ve intikam üzerine kurduğunuz bir düşünce sürekli kendinize söylediğiniz bir yalan nedeniyle, yıkılıp gidecek.	{'6'}
Bugün yaptığı bir şeyi, yarın zevkle yok edebilir.	{'3'}
Eğer insanoğlu ve milletler, bahsettiğim bu iyiliğe sahip olsalardı kayıtlarımı, her şeyimi, seve seve paylaşıyor olurdum.	{'6'}
- Bana güvenmediğiniz için mi?	{'1'}
Bir deneyeyim.	{'2'}
Vulcania'ya yaklaşıyoruz.	{'2'}
İşte cevabınız Profesör.	{'1'}
Anlaşma yapmak istediğiniz güçler tarafından tuzağa düşürüldük.	{'1'}
Dört derece aşağı.	{'5'}
Ada, savaş gemileri tarafından sarılmış.	{'4'}
Geliyorlar.	{'4'}
- Hayır, Ned, yapma!	{'4'}
Notları biz gönderdik!	{'2'}
Nautilus son kez dalıyor.	{'4'}
Durun biraz. Ben anlamadım.	{'4', '1'}
Biz ne olacağız?	{'1'}
Ben ölüyorum, ve Nautilus de benimle birlikte ölecek.	{'6'}
Dünya, daha iyi ve yeni bir hayata hazır olduğunda tüm bunlar tekrar bulunacaktır Tanrı'nın güzel zamanlarında.	{'6'}
Pes etmeyin dostlarım!	{'4'}
Onu odasına götürün.	{'1'}
Kayığı alıp, gidelim buradan.	{'5'}
- Profesör, nereye gidiyorsunuz?	{'2'}
Hayat bazen çok fazla kötü film izlemiş biri gibi davranır.	{'6'}
Çukurdan çıkmış ama çukuru hiç terketmemiş.	{'1'}
Neyse, o zaman kibar bir deyimle yeni bir yüz aramaya çıkmıştık.	{'2'}
Yaygın ölçülere göre yeni bir yüz bulmak için Madrid'e uçmak gereğinden fazla zahmete girmek sayılırdı.	{'7'}
Belki bir daha dans eder, bir gecelik.	{'5'}
Sen söylersen dans edebilir.	{'5'}
İnsan içki içince sohbet edemiyor.	{'3'}
Olabilir.	{'2'}
Kirk, senin hiç içmiyor olman bence içkiyi savunmak için en geçerli neden.	{'5'}
İnsanların ruhu satın alınmaz.	{'1'}
Ruhunu şeytana sattı. Bir anlık mutluluk karşılığında, anlıyor musun?	{'8'}
Kirk'ün bu durumda kalacağını aklın alıyor mu?	{'7'}
İçki içen bir kadın yeterince sevimsizdir.	{'1'}
Unuttun mu, Roma'dan senin uçağınla geldik?	{'2'}
Garsonlardan biri onun ağırbaşlılığıyla ünlü olduğunu söyledi bana.	{'8'}
Halkla ilişkilerden ben sorumlu değilim.	{'1'}
Bence bu ilişkimizi açıklığa kavuşturmak için iyi bir fırsat, Harry.	{'1'}
Ayrıca bu filmin yapımını menuniyetle iptal edebilirim.	{'1'}
Señorita, çıplak ayaklarınız görünüyor.	{'6'}
Benimle o terli yüzlü adamın söz ettigi konuda mı görüşeceksiniz?	{'3'}
Yüzü terli olan, sizden daha nazikti.	{'3'}
- Şimdide beni mi satın alacak?	{'2'}
Jean Harlow ve Carole Lombard'ın bir filmini yönetmemiş miydiniz?	{'7'}
Adımı nerden biliyorsunuz?	{'7'}
Umarım öldügümü sanmıyordunuz.	{'7'}
- İşine dönmesi gerekiyordu.	{'6'}
Bunu kaybetmeyi niçin göze alayım?	{'7'}
Malesef geciktik ve dansınızı izleyemedik.	{'6'}
Gerçekten üzgünüz, señorita, çünkü anladığım kadarıyla çok yeteneklisiniz.	{'5'}
Ve bay Kirk Edwards'ı Roma'dan getirecek yegane şeyden de yetenekli.	{'2'}
Ben annemi yanımda istemem.	{'1'}
- Çünkü annnemi sevmiyorum.	{'3'}
- Herhalde şaka yapıyorsunuz.	{'6'}
Bunları daha sonra konuşalım.	{'2'}
Bir mucize geçekleşti ve büyük bir başarı kazanabilirsiniz.	{'5'}
Senin sayısız hatalarında biride senaryonun nerede bitip, hayatın nerede başladığını bilmemen.	{'3'}
Ah, Muldoon, sen bir harikasın.	{'8'}
Odasına dönmemiş.	{'6'}
Sen gelmiyorsun Harry.	{'6'}
Ajansına telefon et seni aldırsın, tabi hala bir ajansın varsa.	{'3'}
Şu anda, keşke olsaydı diyorum.	{'6'}
Özür dilerim, hiç ispanyolca bilmiyorum.	{'6'}
Sizde kalsın, bende başkası var.	{'2'}
Annemin söylediklerine kulak asmayın.	{'6'}
- Kardeşim tüm sigaralarınızı aldı mı?	{'8'}
Bay Kirk Edwards'ı hiç sevmedim.	{'1'}
Bay Dawes, sizce ben bir yıldız olabilir miyim?	{'7'}
Yeterince güzelim sanırım, ama öyle bir yıldız olmak istemiyorum.	{'6'}
Bilinen beş duyum, alkolün ve başka şeylerin etkisiyle fazla hassas sayılmaz.	{'5'}
Dolayısıyla, tümüyle benim denetimim dışında olan bu koşullar altında, sana şunu tavsiye ediyorum: Deneme çekimi için Roma'ya gelme.	{'3'}
Amerika'ya da gelme.	{'4'}
Bundan altı ay kadar önce bir tanesine aşık oldum.	{'5'}
- Bu bir erkek ismi.	{'7'}
Ama hasta olan kendinizseniz, kaçmak mümkün değil.	{'6'}
Küçücük bir kızken, bir çokları gibi, ayakkabı alacak paramız bile yoktu.	{'6'}
İhtiyacım vardı.	{'5'}
Korktuğum anlarda hala bu ihtiyacı duyarım.	{'4'}
Beni şaşırtıyorsunuz, bay Dawes.	{'7'}
- Neden korkuyorsun?	{'8'}
- Molozun içinden belli olmuyor.	{'2'}
O halde ailene veda et.	{'6'}
Hazırım, bay Dawes.	{'2'}
Ayakkabılarını unuttun.	{'7'}
Binlerce kez görmüş ve okumuş olduğunuz gibi.	{'3'}
Kirk, sevgili dostum, aklından geçenleri çok iyi biliyorum.	{'8'}
Bir dakika beyler.	{'4'}
Kaçırdım, bu filmi görünce deliye döndüm.	{'1'}
Bu gece Paris'e uçuyorum, Harry.	{'2'}
- Cevabı biliyorum.	{'2'}
Belki patronum bunun da cevabını biliyordur, belki de bilmek istemiyordur.	{'6'}
Salonun bütün gün bizim.	{'8'}
O kadar sürmez.	{'8'}
Kirk, Maria seni tiye aldı.	{'1'}
Ama Maria'ya ne dersem, onu yapacaktır.	{'8'}
Pekala, hadi Hollywood'a dönüp şu filmi çekelim.	{'2'}
Ama bir Maria daha çıkmaz.	{'6'}
Fiyasko denecek bir cenaze töreni varsa, o da buydu.	{'3'}
Ünlü bir film yıldızını kimliği tespit edilmemiş biri gibi göremezsiniz.	{'6'}
En azından benim kitabıma uymuyordu.	{'1'}
Köşe yazarları ve basının kurtları gece gündüz peşimdeydiler.	{'4'}
Bunun gerçek olduğu açıktı, çünkü evleneceklerine dair hiçbir açıklamada bulunmamışlardı.	{'8'}
Onu buraya, sinema gişelerinin önünde kuyruğa giren insanlar getirmişti.	{'6'}
Kirk yüzüme bile bakmadı.	{'7'}
Bay Muldoon, Maria'nın annesi, Maria'nın babası tarafında öldürülmüş.	{'7'}
Bildiğimiz gibi, buralarda gazete satışlarını arttırmak için böyle yolara başvurulur.	{'5'}
Büyük kentlerdeki gösterimler de bitmiş olur.	{'1'}
Ne kadar akıllısın, patron.	{'8'}
Artık kıravatımı gevşetip ayaklarımı uzatabilirim Las Vegas'da hayatımın sonuna kadar gönül eğlendirebilirim.	{'2'}
Oscar, telefon.	{'1'}
Hayır, ben Oscar.	{'7'}
Eee, yeni mi görüştünüz?	{'6'}
Bak buna sevindim işte.	{'6'}
Evet. Önemli sayılacak bir şey oldu.	{'2'}
Babası annesini öldürmüş dedim.	{'6'}
Babasının yanında olmak için Madrit'e mi uçtu?	{'7'}
Böyle bir şeye nasıl izin verirsin? Ne?	{'7'}
10 milyon dolarlık bir hasılat söz konusu iken, nasıl böyle konuşuyorsun? Demek öyle?	{'7'}
Bundan sonra olsa olsa salça reklamlarındaki domatesleri yönetebilirsin.	{'1'}
Ne film, ne de mesleği bu zor dönemde babasının yanında olmak kadar önemli değilmiş onun için.	{'8'}
Kurtarmaya çalıştığı sanki kendi hayatıydı.	{'2'}
Yüzüne bakmak yeterliydi. Çoğu zaman nerede olduğunu bile bilmiyordu.	{'7'}
Ve şansını kullanmaya hiç niyeti yoktu. İhtiyar kadını vurduğunu durmadan tekrar ediyordu.	{'1'}
Fişek gibi bir genç olan Maria'nın kardeşi, kürsüye geldiğinde, ev sahibi takımın durumu iyiye gitmeye başladı.	{'2'}
Yaşlı babasının annesinden defalarca dayak yemiş olduğuna tanıklık ediyordu. Cinayet gecesinde, sadece radyosunu kısmakla kalmamış, ona da vurmuştu.	{'4'}
Kardeşinin ve kendisinin içinde doğduğu o korkunç ortamdan söz etti.	{'6'}
İçi nefret dolu annesinden ve etrafina saçtığı nefretin kendisine nasıl yansıdığından söz etti.	{'6'}
Kendini savunmuştu.	{'4'}
Belki de halkın, halkla ilişkileri sizden daha iyi bilidiğini anlamaya başlardınız.	{'5'}
En azından, benim için güzel ve mutluluk dolu iki yıl daha.	{'5'}
Ama kısa bir süre sonra anlaşıldı ki Señor sadece tek bir şeyle ilgileniyordu.	{'6'}
Pek meraklı olmadığımız halde iş olsun diye oturmuştuk.	{'2'}
Çok huzursuz, çok gergin ve içine kapanmıştı.	{'6'}
Bundan hoşlanmamıştı.	{'6'}
Oscar'a göre, Alberto Bravano bir ilahtı.	{'8'}
Şimdilik her şey yolunda, bayım.	{'5'}
İşçilerin yeterli ücret alamadığı, yeterince beslenemediği, saglık hizmeti alamadığı ocaklara.	{'6'}
Yine altı altı atarsan seni cadı diye yaktırırım.	{'1'}
Bana 187,000 dolar borcu var hala ödmedi. - Kabul etmiyorsun.	{'7'}
- Altı altı. - Ahh.	{'7'}
- Ve güzel sorular soruyorsunuz.	{'8'}
Neyiniz var sizin? Ne yapıyorsunuz?	{'1'}
Kirk olmadığı kesin, kim o? Harry'mi?	{'7'}
Elbette veririm.	{'1'}
Sigara bile içmeyen büyük bir yıldız.	{'3'}
Ama çok çalıştın.	{'8'}
Ait olduğum yerde kalmalıyım.	{'6'}
- Herhalde kalamam.	{'1'}
4 atlı değil ama 200 beygir gücünde bir arabam var.	{'5'}
Harry, hiç dikkatini çekti mi? Prens, ayakkabısını ayağına giydirmek için  Külkedisini her yerde aradı.	{'1'}
Söz açılmışken...	{'7'}
Bu hayat senin.	{'1'}
Bir prens kiralayamazsın.	{'1'}
Onu gördüm.	{'7'}
- Yine peri masalları.	{'1'}
Gündüz gözüyle yüzüne bakabileceğin bir erkek.	{'5'}
Büyük, beyaz bir yatı da olsa, yine de pislik değil mi?	{'7'}
Söylediklerine katılmadığımı sanma, Harry.	{'4'}
Ama ne yazık ki gündüz de nefes alıyoruz.	{'3'}
Kibritini yanında taşısa iyi eder artik. - Ya?	{'7'}
Uluslararası sosyeteye bayılacağından eminim.	{'5'}
Anlaştınız mı?	{'7'}
Ama onu çok etkiledim.	{'5'}
- Yumruklaşıyorlar mı?	{'7'}
- Yalan söylüyorsun. - Haklısın.	{'1'}
Yaşantım sizi ilgilendirmez.	{'1'}
Şimdi çeneni kapa ve geldiğin yere dön.	{'1'}
Ben hayattan zevk alıyorum.	{'5'}
Geldiğim yere dönmeyeceğim, çünkü orayı sevmiyorum.	{'1'}
Benimle geliyor musunuz?	{'7'}
- Yarın sabah Cannes'a hareket ediyorum.	{'1'}
Karıştırıyor olmalısınız, señor.	{'1'}
Yarın sabah onunla gitmeyeceğini söyle, lütfen.	{'6'}
Herkesi dışarı çıkar.	{'2'}
Bak Kirk, bu defa kendi çöpünü kendin boşalt.	{'1'}
- Ne dediğimi duydun.	{'1'}
- Parti bitti dedin.	{'1'}
Herkese gitmelerini söyle.	{'1'}
Tam dört yıldır dayanıyorum. Dört yıldır konukları davet ettim, ikram edilecekleri seçtim, eğlenceyi organize ettim ve çöplerini temizledim.  Garsonların, taksilerin, davetiyelerin ve konukların parasını ödedim.	{'6'}
- Asla film yapamayacak.	{'6'}
- Perdede asla görünemez, mahvolur.	{'1'}
Señor Bravano'yu neden mahvetmiyorsunuz?	{'2'}
Seni evine götüreyim.	{'8'}
Seni bir yerlerden hatırlıyorum.	{'7'}
Harry, hayatın kötü senaryolar yazdığıni söylerdin.	{'2'}
Seninkilerde bile şu bardağı yüzüne fırlatırdım.	{'1'}
Oysa şimdi onunla gidiyorum.	{'5'}
Bunu neden yaptığımı biliyor musun?	{'2'}
Ben korkak bir şıllığım.	{'4'}
Bu gece ayağındaydı.	{'7'}
Bazı şeyler kimseye söylenmez.	{'4'}
Bir işe yarayacağını bilsem, sokaklarda anlatırdım.	{'1'}
Onun yazısı çoktan yazılmış ve bitmişti.	{'6'}
İşte karşımızdaydı, dünyanın en çok arzu edilen kızı. Dünyanın bir numaralı gösterisinde onu satın almak isteyen müşterilere sergileniyordu.  Ama kimse onu paket edip evine götüremiyordu.	{'4'}
Ölümüne bahse girerim ki...	{'3'}
Sıradan yaşantıları olan sıradan insanlar bir anda görünmez olurlar. Dünya, insan biçimindeki kelebeklerin istilasına uğramış gibidir.	{'7'}
Kimseden para istediği görülmemiş. Ama zengin dostlarına yardım etmek için hiçbir fırsatı kaçırmazdı.	{'3'}
Hector Eubanks küçük kozamızın ateş topuydu.	{'8'}
O geceden sonra Maria'yı bir daha hiç görmedim.	{'6'}
Uzun kelimeyi kağıdın başına yazıyorsunuz, aşağıya da bundan türetebildiğiniz kısa kelimeleri yazıyorsunuz. Yaa.	{'8'}
Bir şey söyleyeyim mi: Beyaz perdenin dışında güldüğünü hiç görmemiştim.	{'7'}
- Hayır, bu gece çok farklı.	{'3'}
Bir kere hırsızsın.	{'3'}
Oyun masasında benden para aldın.	{'1'}
Bana milyonlarca frank kaybettirdin.	{'6', '1'}
Ölü bir hayvana ait.	{'4'}
Buradaki herkesten daha değerli biri.	{'8'}
Benim, kralların soytarısı olduğum gibi.	{'7'}
Şampanyam iyi soğutulmamış.	{'3'}
Çok soylu bir ailedendir...	{'6'}
Ne büyük saflık.	{'8'}
Onca yön arasında, neden Nice'le Cannes arasında uzanan o yolu tercih ettim? Che sarà, sarà.	{'1'}
O gün oradan, ondan uzaklaşırken hissettiklerim de çok tuhaftı. Eninde sonunda yine karşılaşacağımı biliyordum.	{'8'}
- İstersen bunları daha sonra konuşuruz.	{'4'}
Ne olduğunu bilmiyorum, ama kadın değilsin.	{'3'}
Bir zamanlar benim için ayrıcalıklı bir kadındın sen.	{'5'}
Peki ne iş yaparsınız?	{'2'}
Ne düşündüğümü bilmenize imkan yok.	{'1'}
Ah, hiç sanmıyorum.	{'7'}
Ama şu anda bilmemiz imkansız.	{'6'}
Çingenelerin kampında, gözgöze geldiğiniz an, sonra da kumarhanenin penceresinde ve az önce elimi size uzattığımda.	{'8'}
Kılıç ise kocası.	{'8'}
Ben de son savaşta kocamı kaybettim.	{'6'}
- Ona çok benziyorsunuz.	{'7'}
Bu beyefendiye hayranım.	{'8'}
- Tahmin etmiştim.	{'2'}
Sana bu denli aşık olması neredeyse ürkütücü geliyor.	{'7'}
Yani onaylamıyorsun.	{'1'}
Maria'yla evlenerek hayatının en düşüncesiz ve en yıkıcı adımını atacağını mı söylememi istiyorsun?	{'4'}
Torlato-Favriniler dünya yüzünden silinecek.	{'1'}
Belki de bu yüzden çocuk doğuramıyorum.	{'4'}
"İnsanlar bir gün onun tablolarını seyredecek, ve adımı öğrenecek, ve düşünecek: ""Geriye hiçbir şey bırakmadan ölmüş olmaları ne acı."""	{'5'}
Bir an olsun onu düşündün mü?	{'1'}
Bir an için kendinden başka birini ya da küçük bir tireyle ayrılmış, o 14 harften başka bir şey düşündün mü?	{'1'}
Uzun bir zaman.	{'6'}
Ve de o hayatın gecesi kalmamışsa, sadece güneş battığında kararan günler halinde yaşanmışsa.	{'6'}
Belki de aklımı, adımıza, geçmişimizin ve geleceğimizin olmayışına, tablolarımıza,	{'4'}
Başıma geldi işte, ben istemeden, hatta bilmeden.	{'3'}
Evet sen haklısın, buna hakkım yok.	{'6'}
Yağmur altında ıslanan bir gelin.	{'5'}
- Seni de iyi gördüm.	{'8'}
Tıpkı 13 yaşında bir kız gibi davranıyorum.	{'3'}
Boşversene.	{'1'}
Sanki hayatım boyunca karanlıkta yaşamışım da, bir anda ışığa boğulmuşum gibi.	{'5'}
Ne diyeceğim?	{'6'}
Yakışıklı ve iyi yürekli, hassas ve şevkatli, onurlu, gururlu falan mı?	{'3'}
Ve oynardın.	{'1'}
- Bana güleceksin.	{'6'}
- Elimi öpüyor. - Çok normal.	{'5'}
- Ama şimdi aptallık ediyorsun.	{'1'}
- Sence bu yeterli mi?	{'2'}
- Dedim ya, onda bakışlarında olmayan bir şey var.	{'8'}
- Hayır, biraz daha anlatmalısın. Hayır.	{'7'}
Geriye dönüp bakınca, belki de o zaman şimdi olduğumu sandığım kadar endişeli değildim.	{'6'}
Fikrinizi değiştirip bizimle yemeğe kalmaz mısınız, bay Dawes?	{'2'}
Maalesef kalamam.	{'5'}
Gelini benden alacaksınız.	{'8'}
- Kemancıyı tanımıyorum. - Her yerde olduğu gibi, aşçı olmalı.	{'4'}
Öyle de olmalı bence.	{'5'}
- Bizden daha çok eğleniyorlar.	{'6'}
Nasıl bir çağda olduğumuzu sanıyorsun?	{'1'}
Duygusal olarak, o bir çocuk.	{'1'}
Genç kızlık hayallerinin tümünü bir prense bağladı, o da sizsiniz.	{'4'}
Aslında hiç incinmemeli.	{'4'}
Ben ister miyim?	{'1'}
- İşin hiç kolay olmayacak.	{'4'}
Kolay olmayacak ne?	{'6'}
Düğün gecesinden sonra, onu sadece bir kez gördüm.	{'6'}
- Beni gördüğüne sevindin mi?	{'5'}
Hayır, bu kadar uzun sürmedi.	{'6'}
Saklaman gerekmiyor. Karşında ben varım.	{'7'}
Aşık olmak ne demekmiş, öğrendim.	{'8'}
Düğün gecemde aşk dolu bir kalple, onu bekletmenin anlamını da.	{'2'}
Senden önce kimseye aşık olmayışımın nedeni de buydu.	{'8'}
Bunun uzun zaman önce kurduğun bir düş olmadığına inanmakta zorlanıyorsun.	{'2'}
Hiç soru sormadan, bir daha asla ayrılamayacağımızı bilerek birbirimizi anlamamız.	{'8'}
Ama eninde sonunda öyle bir gün gelir ki, bizim bile düşlerde yer almayan, ama gerçek hayatta varolan bazı acılarla,	{'2'}
Bir eşte aradığım her şeye sahipsin.	{'8'}
Senden başka kimseyi istemezdim.	{'8'}
Bundan sonra söyleyeceklerimi, bu mektupta düzgün bir biçimde yazılmış olarak bulacaksın.	{'8'}
Şimdi seni bütün kalbimle sevdiğime inanmanı niçin bu kadar önemli olduğunu anlıyor musun?	{'5'}
Bu haftanın şanslı erkeği kim?	{'7'}
İşin en hazin yanı da bu.	{'6'}
Bu arada siz de Kaliforniya'yı görürsünüz.	{'5'}
Çünkü anlatmam gerekiyordu.	{'1'}
Harry, sence Vincenzo'yu ne mutlu eder?	{'2'}
Bu onu daha az mutsuz kılar.	{'5'}
O hayatını bildiği gibi noktalayan, çok acı çekmiş hasta bir adam. Hayır Harry.	{'1'}
Vincenzo'yu senden daha iyi tanıyorum.	{'1'}
Kirk yeni bir yüz aramaya kalkışmamış olsaydı, çoğumuz için her şey ne kadar kolay olurdu, değil mi?	{'1'}
- Peki ya senden farklı düşünürse,	{'4'}
- İspanyolca bilir misiniz?	{'2'}
İkinci Dünya Savaşı Dönemi. Bugün, birer astsubaysınız.	{'8'}
Bundan böyle eğitiminizi savaş okulunda sürdüreceksiniz.	{'1'}
Birleşik Devletler Donanmasında görevli birer astsubay olarak, tüm zamanların en zorlu savaşı için denize ineceksiniz.	{'8'}
- Tebrikler Willie.	{'8'}
Anne, senin partine gelemeyeceğim.	{'6'}
Başka bir kutlama var.	{'5'}
- Her şeyin bir zamanı vardır.	{'8'}
- Affedersin Willie.	{'6'}
Geceni mahvetmek istemiyorum.	{'6'}
Fairmont'a gidebiliriz ...	{'6'}
- Nasıl yani?	{'1'}
- Sadece 48 saatim var.	{'4'}
- Willie, yapma.	{'1'}
Biraz daha zaman olsaydı ...	{'6'}
Zaten bunu beklememeliydim.	{'3'}
Kim olduğumu unutmuşum.	{'7'}
Ama artık bunu istemiyorum. Bir dakika bile dayanamam.	{'1'}
Görev alacağın gemi çok savaşlar görmüş.	{'8'}
Şu 100 doları da al bakalım.	{'8'}
Çok dikkatli ol.	{'8'}
Olmam. Söz veriyorum.	{'8'}
Bu taraftan Keith.	{'2'}
Heyecanına hakim ol. Bu gemi Caine'dir.	{'1'}
Tayin emrini ver.	{'8'}
Sivilleri neden bu işlere atarlar hiç anlamam.	{'1'}
Umarım Caine'de çalışacak yeteneklere sahipsindir.	{'2'}
- Elimden geleni yapacağım.	{'5'}
18 aylık bir seferden sonra tam 24 saatte hayata döndürülebildi.	{'8'}
- Hepsi bu işte.	{'1'}
Karımı ve çocuğumu çok severim.	{'5'}
Keith, galiba kusacağım. Affedersin.	{'6'}
Gerçekten çok iyisin.	{'5'}
- Önemli değil.	{'8', '1'}
- Gemi turu çok ilginçti.	{'5'}
- Yine başlıyoruz.	{'4'}
- Bundan haberim yoktu.	{'6'}
- Burada karar vermesi doğru olmaz.	{'6'}
Çok pişman olacaksın.	{'1'}
Uçakları martılardan ayırmayı umarım bir gün öğrenirsin.	{'1'}
Tarayıcıyı bırakın.	{'1'}
Yaptıklarına bakılırsa onu çok seviyor olmalısın.	{'7'}
Gidip kurulan Keith.	{'1'}
- Fikirlerin önemli olabilir.	{'8'}
Unutmuşum.	{'6'}
- Emri deşifre ettin mi?	{'2'}
- Böyle bir aptallık olamaz ...	{'6'}
- Herkes hata yapabilir.	{'8'}
Burada hata payı çok azdır.	{'8'}
En ufak hata, büyük can ve mal kayıplarına sebebiyet verir.	{'6'}
- Sence haksızlık mı etmişim?	{'1'}
- Hadi, devam et Keith.	{'1'}
Gördüğün gibi bu gemideki görevimden alınıyorum.	{'6'}
Kendini daha iyi hissediyor musun?	{'6'}
Herkesin gemi yönetme kavramı farklıdır.	{'8'}
Çoktan eritilip jilet yapılmalıydı .	{'1'}
- Gemiyi terk etme izni istiyorum.	{'4'}
- Kaptan? - Ne var Meatball?	{'4'}
- Bu, Donanma kurallarına aykırı .	{'1'}
Caine'de çok fazla kaldım.	{'6'}
Bu da ne?	{'2', '7'}
Ayrıntılara geçelim.	{'2'}
Artık beni tanıyorsunuz. Ben de sizleri tanımak isterim.	{'5'}
Doğru yöntem, yanlış yöntem, Donanma ve benim yöntemim.	{'8'}
Ama galiba oluyor!	{'2'}
- Kim demiş? - Hedefin halatını kopardık.	{'2'}
Tüm motorlar tam yol.	{'2'}
Willie, endişeli görünüyorsun.	{'4'}
Kaptanlık zor bir görevdir.	{'6'}
Şu gelen mesaja bak.	{'7'}
Onu kızgın yağ kazanı bekliyor.	{'4'}
- Gelmeyeceğimi mi düşünüyordun?	{'7'}
May Wynn. Willie'nin arkadaşlarıyla tanışmak beni hep heyecanlandırır.	{'5'}
- Bayan Wynn de geliyor mu?	{'7'}
- Evet. Ondan çok hoşlanıyorum.	{'8'}
- Söz veriyorum.	{'4'}
Hoşçakal anne.	{'6'}
- Şarkı gibi.	{'5'}
Güzel ama korkutucu.	{'4'}
Annenin seni bırakmasına çok sevindim.	{'5'}
Ateş gösterisi başlasın!	{'5'}
Burası bir cennet.	{'5'}
- Bırak görsünler.	{'8'}
Gerçekten değişmişsin.	{'7'}
Bazen hala bir şansımız olduğunu düşünüyorum.	{'5'}
- Willie, geç oluyor.	{'1'}
Hayatının geri kalanını benimle geçirmeye ne dersin?	{'8'}
- Evet. Bana öyle bakma.	{'3'}
- vermez ve sen mutsuz olursun.	{'1'}
- Sevgilinden ayrılamadın mı?	{'7'}
Gemiyi bir gecede şekle sokmamı beklememelerini söyledim.	{'1'}
Bundan böyle subaylar ve mürettebat hata yapmayacak.	{'6'}
Donanma benim hata yapmamı bekliyor ama bunu yapmayacağım.	{'4'}
Bu konuda tecrübeliyimdir.	{'6'}
Beyler, size iyi haberlerim var.	{'5'}
Şaka yapmıyorum. Artık kendimize bir çeki düzen verelim.	{'8'}
Kaçıyor mu? - Sakın bela arama Tom.	{'1'}
- Bilmiyorum. - Bu yaptığının bir sebebi olmalı .	{'8'}
